Tureis,9.284838,-59.275229,2.21,45556
Alphekka,15.578128,26.714693,2.22,76267
,9.133268,-43.432589,2.23,44816
,13.398747,54.925362,2.23,65378
Sadr,20.370473,40.256679,2.23,100453
Shedir,0.675116,56.537331,2.24,3179
Etamin,17.943437,51.488895,2.24,87833
Mintaka,5.533445,-0.299092,2.25,25930
Caph,0.152887,59.14978,2.28,746
,13.664796,-53.466394,2.29,66657
Dschubba,16.005557,-22.62171,2.29,78401
,16.83608,-34.293232,2.29,82396
,14.698823,-47.3882,2.3,71860
,14.591786,-42.157824,2.33,71352
Merak,11.030677,56.382427,2.34,53910
Izar,14.749784,27.074222,2.35,72105
Enif,21.736433,9.875011,2.38,107315
,17.708132,-39.029983,2.39,86670
Ankaa,0.438056,-42.305981,2.4,2081
Phad,11.897168,53.69476,2.41,58001
,17.172968,-15.72491,2.43,84012
Scheat,23.062901,28.082789,2.44,113881
Aludra,7.401584,-29.303104,2.45,35904
Alderamin,21.30963,62.585573,2.45,105199
,9.368562,-55.010668,2.47,45941
Gienah,20.770178,33.970256,2.48,102488
Markab,23.079348,15.205264,2.49,113963
Menkar,3.037992,4.089734,2.54,14135
,16.619316,-10.56709,2.54,81377
,13.925667,-47.288375,2.55,68002
Zosma,11.235138,20.523717,2.56,54872
Graffias,16.09062,-19.805453,2.56,78820
Arneb,5.545504,-17.822289,2.58,25985
,12.13931,-50.722425,2.58,59196
Gienah Ghurab,12.263437,-17.541929,2.58,59803
,19.043532,-29.880105,2.6,93506
Zubeneschemali,15.283449,-9.382917,2.61,74785
Unukalhai,15.737798,6.425627,2.63,77070
Sheratan,1.910668,20.808035,2.64,8903
Phakt,5.660817,-34.074108,2.65,26634
,5.995351,37.212585,2.65,28380
Kraz,12.573121,-23.396759,2.65,61359
Ruchbah,1.430216,60.235283,2.66,6686
Mufrid,13.911411,18.397717,2.68,67927
,14.975537,-43.13396,2.68,73273
Hassaleh,4.949894,33.16609,2.69,23015
,10.779488,-49.420255,2.69,52727
,12.619739,-69.135564,2.69,61585
,17.512732,-37.295811,2.7,85696
,7.285711,-37.09747,2.71,35264
Kaus Meridionalis,18.3499,-29.828103,2.72,89931
Tarazed,19.770994,10.613261,2.72,97278
,16.239094,-3.694323,2.73,79593
,16.39986,61.514213,2.73,80331
,10.715949,-64.39445,2.74,52419
Porrima,12.694345,-1.449375,2.74,61941
Hatsya,5.590551,-5.909901,2.75,26241
,13.343296,-36.712295,2.75,65109
Zubenelgenubi,14.847977,-16.041778,2.75,72622
Cebalrai,17.724543,4.567303,2.76,86742
Cursa,5.130829,-5.086446,2.78,23875
Kornephoros,16.503668,21.489613,2.78,80816
Rasalgethi,17.244127,14.390333,2.78,84345
,12.252427,-58.748928,2.79,59747
Rastaban,17.507213,52.301387,2.79,85670
,15.585681,-41.166757,2.8,76297
Nihal,5.470756,-20.759441,2.81,25606
,16.688113,31.602726,2.81,81693
,0.427916,-77.254247,2.82,2021
,16.598043,-28.216016,2.82,81266
Kaus Borealis,18.466179,-25.4217,2.82,90496
Algenib,0.220598,15.183596,2.83,1067
,8.125737,-24.304324,2.83,39757
,15.919083,-63.430727,2.83,77952
,3.9022,31.883635,2.84,18246
,17.421665,-55.529884,2.84,85258
,17.530695,-49.876145,2.84,85792
Alcyone,3.79141,24.105137,2.85,17702
Vindemiatrix,13.036278,10.95915,2.85,63608
,21.784011,-16.127286,2.85,107556
,7.576827,31.89052,2.85,
,1.979451,-61.569859,2.86,9236
,19.749574,45.13081,2.86,97165
,6.382673,22.513586,2.87,30343
,15.315181,-68.679545,2.87,74946
,22.308371,-60.259587,2.87,110130
Acamar,2.971023,-40.304672,2.88,13847
Albaldah,19.162731,-21.023615,2.88,94141
Gomeisa,7.452512,8.289315,2.89,36188
Cor Caroli,12.933807,38.31838,2.89,63125
,15.980865,-26.114105,2.89,78265
,3.96423,40.010215,2.9,18532
,16.353143,-25.592796,2.9,80112
Sadalsuud,21.525982,-5.571172,2.9,106278
,3.079942,53.50644,2.91,14328
,9.785036,-65.072007,2.92,48002
Matar,22.716704,30.221245,2.93,112158
,6.832266,-50.61456,2.94,32768
Algorab,12.497739,-16.515432,2.94,60965
Sadalmelik,22.096399,-0.319851,2.95,109074
Zaurak,3.967157,-13.508515,2.97,18543
,5.627413,21.142549,2.97,26451
